Amenity
TV
Wifi
Internet
Wireless Internet
Cable TV
Air conditioning
translation missing: en.hosting_amenity_49
Suitable for events
Pets allowed
Kitchen
translation missing: en.hosting_amenity_50
Family/kid friendly
Essentials
Smoking allowed
Smoke detector
Washer
Free parking on premises
Pets live on this property
Breakfast
Heating
Self Check-In
t
Pool
Laptop friendly workspace
Host greets you
Doorman
Wheelchair Accessible
Hangers
Elevator in building
Wide entryway
Free street parking
Shampoo
Carbon monoxide detector
Indoor fireplace
Fire extinguisher
Elevator
Gym
Dryer
Hot tub
Dog(s)
Paid parking off premises
Buzzer/wireless intercom
Washer / Dryer
Lockbox
Hair dryer
Cat(s)
First aid kit
Free parking on street
Lock on bedroom door
Private entrance
Hot water
Other pet(s)
24-hour check-in
Front desk/doorperson
Safety card
Smart lock
Keypad
Iron
Bed linens
Private living room
Other
Game console
Microwave
Doorman Entry
Step-free access
Dishes and silverware
Coffee maker
Pack ’n Play/travel crib
Refrigerator
Oven
Extra pillows and blankets
Luggage dropoff allowed
Bathtub
Stove
Dishwasher
Children’s books and toys
Patio or balcony
High chair
Window guards
Room-darkening shades
Long term stays allowed
Cooking basics
Stair gates
Garden or backyard
Crib
Cleaning before checkout
Wide hallway clearance
Ethernet connection
Changing table
Baby monitor
Well-lit path to entrance
Babysitter recommendations
Outlet covers
Baby bath
Pocket wifi
Waterfront
Wide doorway
Smartlock
Accessible-height bed
Children’s dinnerware
Single level home
Beachfront
Wide clearance to bed
Paid parking on premises
Flat path to front door
BBQ grill
Fireplace guards
Handheld shower head
Lake access
Hot water kettle
Full kitchen
Accessible-height toilet
Ground floor access
Table corner guards
Beach essentials
Private bathroom
Path to entrance lit at night
Disabled parking spot
Ski in/Ski out
Air purifier
EV charger
Fixed grab bars for shower & toilet
"Wide clearance to shower, toilet"
Bathtub with shower chair
Firm mattress
"Fixed grab bars for shower, toilet"
Heated floors
"Flat, smooth pathway to front door"
Ceiling fan
Mini fridge
Kitchenette
Espresso machine
Rain shower
Amazon Echo
Netflix
Jetted tub
Smart TV
En suite bathroom
Pillow-top mattress
Terrace
Gas oven
Soaking tub
Walk-in shower
Roll-in shower with chair
Breakfast table
Balcony
Mountain view
Projector and screen
Wide clearance to shower & toilet
High-resolution computer monitor
Convection oven
Sound system
Hammock
Tennis court
Memory foam mattress
Beach view
Formal dining area
HBO GO
Stand alone steam shower
Fire pit
Bidet
Firm matress
Day bed
Private hot tub
Printer
Flat smooth pathway to front door
Grab-rails for shower and toilet
Heated towel rack
DVD player
Exercise equipment
Outdoor seating
Shared pool
Mudroom
Shared gym
Wine cooler
Central air conditioning
Warming drawer
Heat lamps
Murphy bed
Outdoor parking
Touchless faucets
Double oven
Sun loungers
